Symbol1	Symbol2	Edge_Sign
inv	S-Lap8	+
Nak	numb	-
Nup107	Nup75	+
Nup107	Nup98-96	+
Nup107	Nup133	+
CG14512	Lmpt	+
HLH4C	CG31036	+
HLH4C	CG9173	+
HLH4C	CG8745	+
HLH4C	Lmpt	+
HLH4C	CG6972	-
HLH4C	Argk	+
HLH4C	Zasp66	-
HLH4C	CG8245	+
HLH4C	CG42235	+
HLH4C	zormin	+
Arpc1	Arpc4	+
Arpc1	Arpc3A	-
Arpc1	Arpc2	-
CG14427	Zasp66	+
CG1620	CG8745	-
Cg25C	mys	+
CG4328	sip1	+
CG4328	Cpr92A	+
exu	Hmgs	+
sec23	MED17	+
CG17264	Neto	+
sun	Ost48	+
sun	ATPsyn-Cf6	+
sun	CG4692	+
sun	CG3321	+
sun	ATPsyn-gamma	+
sun	ATPsyn-d	+
sun	Oscp	+
sun	l(1)G0230	+
sun	ATPsyn-b	+
dos	CG10103	+
dos	14-3-3zeta	+
dos	Mbs	-
dos	CG9769	-
dos	caz	+
dos	RAF2	-
dos	RpL17	-
dos	nonA-l	-
dos	CG8728	+
dos	Pvr	+
dos	sesB	-
dos	CG6686	+
dos	CG3731	+
dos	ana2	-
dos	sl	+
Trf2	Dref	+
RpS3A	CG34404	-
RpS3A	CG6843	-
RpS3A	zetaCOP	+
RpS3A	CG9331	-
RpS3A	mus304	-
RpS3A	CG42369	-
CG13843	Tango6	-
CG13843	CG9624	+
CkIalpha	smo	+
CkIalpha	arm	-
CkIalpha	arm	-
CkIalpha	ci	-
CkIalpha	ci	+
CkIalpha	slmb	+
CkIalpha	Axn	+
CkIalpha	Neto	+
CG6370	CG16817	-
CG6370	Sc2	+
CG6370	PMCA	+
CG6370	Karybeta3	+
CG6370	CG33303	+
CG6370	ZnT63C	-
Ef1alpha48D	Rsf1	+
Ef1alpha48D	Pp2A-29B	+
Ef1alpha48D	Prosalpha7	+
Ef1alpha48D	pont	+
Ef1alpha48D	Pros25	+
Ef1alpha48D	eIF6	-
Ef1alpha48D	Syp	+
tim	cyc	-
tim	sgg	+
tim	sgg	+
tim	Clk	+
shtd	Droj2	+
shtd	CG6905	+
shtd	Hsc70-1	+
Rab10	Gdi	+
Rab10	CG3523	+
Rab10	p38b	+
bsk	SmD3	+
bsk	Pros26.4	-
phr	Tango13	+
phr	noi	-
CG1314	CG15631	+
CG1314	RpS28b	-
CG7945	CG9331	+
CG7357	CkIIalpha	+
CG7357	lwr	-
CG7357	pUf68	+
Rpt1	skap	+
Rpt1	Rpn1	+
Rpt1	CG7033	+
Rpt1	CG33303	+
Rpt1	CG2064	+
Rpt1	MRP	-
Rpt1	CG6543	-
Rpt1	Rpn11	+
Rpt1	Prosbeta7	+
Rpt1	Rpn9	+
Rpt1	Gie	-
Rpt1	Rpn2	+
Rpt1	Pomp	+
Rpt1	IntS1	+
Rpt1	Aats-asn	+
Rpt1	Gale	+
Rpt1	CG13349	-
Rpt1	Tcp-1eta	+
Rpt1	Gfat2	+
Rpt1	CG5525	+
Rpt1	Rpn3	+
Rpt1	CG17331	+
Rpt1	Pros35	+
Rpt1	Rpn6	+
Rpt1	Pros25	+
Rpt1	Pros29	+
Rpt1	Prosbeta5	+
Atac1	CG10077	+
mam	Crc	-
mam	shi	+
mam	Sin3A	+
mam	Mfe2	-
mam	Fas1	-
mam	CG9715	+
mam	N	+
CG16826	pen	+
CanA1	NFAT	+
CG5539	Glut4EF	-
CG5539	CG30122	+
rev7	CG18745	-
rev7	skap	-
rev7	CG32086	+
rev7	SmD3	-
rev7	rap	-
rev7	gus	-
rev7	Csk	-
rev7	fzr2	-
rev7	EcR	-
Vps20	ATPsyn-b	+
Vps20	CG8038	+
Jra	14-3-3zeta	+
Jra	bsk	+
Jra	bsk	+
Jra	hep	+
Jra	Syp	-
Jra	puc	-
Jra	Rac1	-
CG14383	CG32626	+
CG14383	Nopp140	+
dhd	CG8239	-
CG17777	pum	+
CG17777	Uro	-
CG17777	l(3)psg2	+
CG5500	CG34205	-
CG5500	Rfabg	+
CG5500	CG31343	+
RpS4	CG6196	-
CG32016	Mpcp	+
CG32016	RpL15	+
CG32016	RpS8	+
CG32016	Dll	-
CG1504	CG5731	+
Karybeta3	Pp2A-29B	+
Karybeta3	Hrb98DE	+
Pros26.4	Rpt3	+
Pros26.4	Prosalpha7	+
Pros26.4	Rpn1	+
Pros26.4	CG2064	+
Pros26.4	Rpt1	+
Pros26.4	ATPsyn-beta	+
Pros26.4	Prosalpha5	+
Pros26.4	Rpn11	+
Pros26.4	mts	+
Pros26.4	CG9624	+
Pros26.4	Prosbeta7	+
Pros26.4	Rpn9	+
Pros26.4	Prosalpha1	+
Pros26.4	Prosbeta2	+
Pros26.4	Prosbeta3	+
Pros26.4	Rpn2	+
Pros26.4	Pros45	+
Pros26.4	Tbp-1	+
Pros26.4	Pomp	+
Pros26.4	CSN4	+
Pros26.4	Rpn7	+
Pros26.4	Rpn3	+
Pros26.4	Pros35	+
Pros26.4	CG17331	+
Pros26.4	Rpt4	+
Pros26.4	Rpn6	+
Pros26.4	Pros25	+
Pros26.4	Pros29	+
Pros26.4	Tcp-1zeta	+
Pros26.4	Prosbeta5	+
gho	CG6443	+
Idgf4	flw	-
CG14645	RpS8	+
Bub3	BubR1	+
CDC45L	CG3511	+
CDC45L	dpa	+
CDC45L	Mcm5	+
CDC45L	Mcm6	+
capt	eIF-5A	-
Rpn1	CG13319	-
Rpn1	Pomp	+
Rpn1	CG10694	-
Rpn1	MRP	-
Rpn1	Pros35	+
Rpn1	Rpn3	+
Rpn1	CG17331	+
Rpn1	Pros29	+
Rpn1	Pros25	+
Rpn1	Rpt4R	+
Rpn1	Prosbeta7	+
Rpn1	Prosbeta5	+
l(2)k01209	CG7112	-
Act5C	CG4933	-
Act5C	CG7518	+
Act5C	eap	+
Act5C	Zn72D	+
Act5C	Dat	+
Act5C	CG17746	-
Act5C	Taf1	+
Act5C	CG34354	-
Act5C	Rox8	+
CR18217	ERp60	+
CR18217	RpL10Ab	-
CR18217	RpL17	-
CR18217	eIF-4a	-
CG8993	Trx-2	+
CG9624	Rpb10	-
CG9624	CG31708	-
gnu	CG9331	+
CG2199	CG7185	+
CG2199	Hel25E	-
pr	CG30118	-
cnc	CG8927	-
cnc	maf-S	+
cnc	Mst84Dc	+
cnc	SmB	+
coro	bru-3	-
coro	eIF6	-
coro	SmG	+
coro	Tcp-1eta	+
betaTub85D	ATPsyn-beta	+
betaTub85D	Rab11	+
betaTub85D	Pde8	+
betaTub85D	alphaTub84D	+
betaTub85D	l(2)03709	+
Pdi	GstO3	+
Pdi	eEF1delta	+
Pdi	CG13887	-
Pdi	sel	+
Pdi	eIF-5A	+
Pdi	ERp60	-
Pdi	GstE6	+
Pdi	CG10638	+
Pdi	Trxr-1	-
Irbp	RfC4	+
Irbp	His3.3A	-
Irbp	SH3PX1	+
Irbp	scramb1	+
Irbp	CG8142	+
CG14829	sisA	+
CG14829	ATPsyn-b	+
CG14829	betaTub56D	-
mus209	ras	+
mus209	Df31	-
mus209	CG8036	+
mus209	lwr	-
mus209	Nacalpha	+
mus209	cib	-
mus209	PHGPx	-
mus209	Fkbp13	-
mus209	lig3	+
mus209	GstE6	-
mus209	CG10638	-
mus209	Moe	+
mus209	smt3	+
mus209	CG2862	-
CG14568	CG30463	+
CG31731	RpS3	-
CG34417	CG10641	-
yellow-g	Pomp	+
Ref2	U2af38	+
Try29F	baz	+
mei-W68	RpII33	-
CG7028	CG11266	+
CG7028	CkIIbeta	+
Ama	TwdlJ	-
Chd64	sns	+
Chd64	TER94	-
Chd64	Nacalpha	+
rg	Ef1alpha48D	-
Ilp4	InR	+
Cerk	Hmx	-
thetaTry	baz	+
Pak3	CG42369	-
pont	arm	+
pont	gt	+
pont	rept	+
cactin	crn	+
cactin	bic	+
cactin	CG17568	+
cactin	CG3213	+
cactin	SmB	+
cactin	trbl	-
cactin	Srp68	+
Prosbeta7	CG5009	-
Prosbeta7	eIF3-S8	+
Prosbeta7	Pros35	+
Prosbeta7	Pros29	+
cm	CG4554	+
Orc4	CTCF	+
Orc4	Eps-15	+
Orc4	CycK	+
Orc4	Dfd	-
Orc4	CG15676	+
ovo	mts	-
Gbeta13F	CG7650	-
Gbeta13F	Ggamma1	+
CG6197	CG6015	+
CG6197	CG14641	-
CG6197	l(3)72Ab	+
CG6197	CG4849	+
CG6197	CG9667	+
CG11878	CG32694	-
Ssu72	siz	-
Ssu72	Rm62	+
Ssu72	CG17528	+
Ssu72	Nup44A	+
Ssu72	Hsc70-4	+
Ssu72	Nacalpha	+
Ssu72	CG13868	+
Ssu72	Nup358	+
Smg6	mnb	-
Gcn2	eIF-2alpha	+
CG8417	Gbeta76C	-
Incenp	CG3225	+
Incenp	Hsc70-1	+
Incenp	ial	+
hh	ptc	-
CG18171	Elongin-C	-
Rbm13	CG6937	+
Rbm13	CG6724	+
Tk	CG6904	+
MEP-1	Mi-2	+
MEP-1	ttk	+
insv	ctp	-
mrn	mago	+
Pgd	mus209	-
CG14722	Cct5	+
CG1999	akirin	+
Rab2	CG3523	+
Rab2	skap	+
Rab2	Cctgamma	+
Rab2	fax	+
Rab2	KdelR	+
Rab2	CG33303	+
Fancl	Fancd2	-
Fancl	CG40127	+
Fancl	DNApol-alpha73	-
CG17107	CG18284	+
RpS6	pit	+
RpS6	Hsc70-1	+
RpS6	Rcd5	+
RpS6	CG11327	-
nopo	raps	+
sna	CtBP	-
sna	CG6905	+
Bre1	CG9040	+
CG42724	CG3689	+
Pop2	Not1	+
Pop2	CG13297	-
Prosbeta3	Rpt3	+
Prosbeta3	Prosalpha6T	+
Prosbeta3	Rpn1	+
Prosbeta3	CG15717	-
Prosbeta3	Rpt1	+
Prosbeta3	ftz	-
Prosbeta3	Ef2b	+
Prosbeta3	CG42724	+
Prosbeta3	CG42304	+
Prosbeta3	Rpn11	+
Prosbeta3	Prosbeta7	+
Prosbeta3	Rpn9	+
Prosbeta3	Prosalpha1	+
Prosbeta3	CG13319	-
Prosbeta3	Rpn2	+
Prosbeta3	Tbp-1	+
Prosbeta3	Pomp	+
Prosbeta3	CG8525	-
Prosbeta3	Rpn7	+
Prosbeta3	CG17331	+
Prosbeta3	Pros35	+
Prosbeta3	Rpn6	+
Prosbeta3	Rpt4	+
Prosbeta3	CG1316	-
Prosbeta3	Pros29	+
Prosbeta3	Pros25	+
Prosbeta3	Prosbeta5	+
CG31198	CG32473	-
CG14718	par-1	+
CG14718	Bap55	+
nej	ash1	+
nej	heph	-
nej	cenG1A	-
nej	CG13806	-
nej	dimm	+
nej	CG5568	-
nej	CG15861	-
nej	MED15	+
nej	Cyp6a9	-
nej	CG13510	-
nej	PHDP	+
nej	pan	-
nej	Np	+
CG5968	wdb	+
RpII18	Taf10b	+
UGP	l(2)03709	-
CG16817	GstE6	-
CG16817	Hsc70-1	+
CG16817	TER94	+
CG16817	bor	-
CG16817	CG12207	-
CG12496	Sry-alpha	-
CG12496	CG4570	+
Snx1	HBS1	+
trpm	CG34383	-
E(bx)	Iswi	+
E(bx)	Caf1	+
Psf1	Mcm3	+
CG14634	HLH4C	+
CG14634	CG4328	+
star1	CtBP	-
star1	eIF-2gamma	-
star1	spi	+
Rap2l	rdx	+
Rap2l	Smg5	+
Rap2l	rhea	+
Rap2l	Magi	+
Rap2l	Sip1	+
Rap2l	RhoGEF2	-
Rap2l	Prosap	+
Rap2l	CG8446	+
Rap2l	Epac	-
Rap2l	RpS7	-
Rap2l	vimar	-
Rap2l	CG6453	+
Rap2l	Prx3	+
Rap2l	CG9336	+
Rap2l	cno	+
CG1077	CG3847	+
CG7288	CG8209	-
CG10466	CG5280	+
MED10	MED27	+
MED10	CG6225	-
MED10	MED7	+
MED10	MED17	+
Fur2	Spx	-
Ect4	mRpL24	-
CG10137	ATPCL	-
Lrr47	Elongin-B	-
Rga	Not1	+
Rga	l(2)NC136	+
CG4452	CG31999	+
CG4452	CG15676	+
Inos	flr	-
Inos	Spindly	+
PEK	eIF-2alpha	+
rdgA	Pk17E	+
CG10126	crn	+
CG17328	mask	-
mub	abs	+
cenG1A	CG11266	-
cenG1A	CG3862	+
RpS16	CG9416	-
RpS16	dl	+
RpS16	CG6357	-
os	dome	+
eIF-1A	Akap200	-
eIF-1A	CG10265	+
eIF-1A	Snx3	-
Nelf-E	TH1	+
CG2807	CG11985	+
CG2807	CG13298	+
CG2807	CG13900	+
CG1603	row	-
CG1603	pzg	+
CG1603	CG33523	+
Prosbeta5R	CG1324	+
CG6543	CG3281	+
CG6543	TER94	-
scny	Mst98Ca	-
RagA	scra	+
Cks30A	cdc2c	-
Arp10	CG12042	+
nab	rn	-
nec	spz	+
tor	csw	+
tor	drk	+
CG7339	CG31999	+
Tango6	CG6770	-
Tango6	und	-
Tango6	CG8642	+
Rpt4	Rpt3	+
Rpt4	Rpn1	+
Rpt4	CG7033	+
Rpt4	Rpt1	+
Rpt4	Pros54	+
Rpt4	Rpn11	+
Rpt4	mts	+
Rpt4	Prosbeta7	+
Rpt4	Rpn9	+
Rpt4	Rpn5	+
Rpt4	Rpn2	+
Rpt4	Pomp	+
Rpt4	CG9588	+
Rpt4	Rpn7	+
Rpt4	Rpn3	+
Rpt4	Pros35	+
Rpt4	CG17331	+
Rpt4	Rpn6	+
Rpt4	Pros29	+
Rpt4	Pros25	+
Rpt4	Prosbeta5	+
Nedd4	dx	+
Nedd4	N	-
nemy	CG32086	+
CG12256	CG5642	+
Tsp42Eg	CG4287	-
Tap42	ago	-
Tap42	CG7033	+
E(z)	Caf1	-
E(z)	Su(z)12	+
E(z)	Rpd3	-
plexA	nvy	+
nmo	pan	-
nmo	Mad	-
RpS5a	Aats-glupro	+
RpS5a	skap	+
RpS5a	Spindly	+
RpS5a	Snp	-
CycG	cenG1A	-
CycG	cdc2	+
CycG	Rbp6	-
CycG	mRpS30	-
CycG	CG9184	+
Pros25	Pros35	+
Pros25	Pros29	+
Pros25	Prosbeta7	+
CG4169	Pp2A-29B	+
Prosalpha6T	Pros54	+
Prosalpha6T	Prosbeta7	+
Prosalpha6T	Prosbeta1	+
LanB2	CG3168	+
LanB2	mys	+
sec6	Cip4	+
sec6	Ndc80	+
sec6	CG3493	+
spen	CG43427	-
spen	Cdk12	-
CG2915	CG9331	+
sesB	cpb	-
sesB	CG4169	+
CG13298	CG11985	+
RN-tre	spheroide	-
orb	aret	+
orb	RpL31	-
orb	CG11107	+
trx	ash1	+
trx	nej	+
trx	Snr1	-
Ppn	Axn	-
Ppn	RpS3	-
Ppn	RpL26	-
Past1	bor	+
Past1	CG33303	-
Past1	Rpt1	-
SMSr	RpLP1	-
PpV	skpA	+
PpV	Zasp66	-
Spn42De	CG3419	+
Spn42De	Marf	+
Sh3beta	CG7054	+
Sh3beta	GstE6	+
CG7878	SmD2	-
RpS7	CG9331	-
RpS7	dimm	-
RpS7	TfIIA-L	+
RpS7	noi	+
RpS7	CG3847	+
RpS7	CG8368	+
RpS7	sav	-
Vps4	Gfat2	-
Vps4	eIF-5A	+
Vps4	Rpt3	+
Vps4	shrb	+
Vps4	CG15735	-
Vps4	vps2	+
Vps4	Rpt1	+
Pex5	crn	-
Pex5	Uro	-
sktl	CG9986	+
fon	par-1	-
fon	CG13031	+
fon	bowl	-
Rae1	CG1129	+
Paip2	pAbp	-
CG6506	CG8230	+
CG13599	CG9796	+
CG14490	crp	-
CG14490	lig	+
zormin	Parp	+
zormin	CG4617	+
zormin	Ef1alpha48D	+
zormin	mRpL24	+
Sap47	Rbp4	-
mRpL46	mRpL40	+
Nup98-96	Bap60	+
Eig71Ei	Aldh-III	+
CG6905	CG10333	+
CG6905	CG6701	-
CG6905	CG7878	-
CG6905	l(3)72Ab	+
CG6905	Amph	+
CG6905	Snx6	-
CG6905	Prp8	+
CG12736	Bx42	-
botv	hh	+
CG3226	CG6015	-
CG3226	CG10265	+
CG3226	CG10638	+
CG3226	CG5111	-
CG3226	CG2862	+
CG7766	coro	+
Gapdh2	GlyP	-
Wnt10	fz2	+
Wnt10	fz	+
Wnt10	fz3	+
Wnt10	fz4	+
Adf1	gus	-
CG15293	RpS20	-
scw	tkv	+
scw	sax	+
WRNexo	bip2	-
l(1)10Bb	Bx42	+
l(1)10Bb	CG6015	+
vps2	shrb	+
vps2	vps24	+
vps2	dl	+
yip3	RpS21	+
CG18088	RpL18A	+
CG18088	RpS8	+
Sc2	BI-1	-
Sc2	CG5447	-
Sc2	CG7967	+
Sc2	sip1	+
Sc2	CG15141	+
Sc2	Karybeta3	+
Vha14-1	VhaM8.9	+
Vha14-1	Vha44	+
blw	CG4692	+
blw	ATPsyn-d	+
blw	ATPsyn-gamma	+
blw	sun	+
blw	l(1)G0230	+
blw	ATPsyn-b	+
Ubx	Cbp80	+
Neto	KLHL18	+
Neto	aru	-
Neto	CG6770	-
Neto	CG8378	+
Neto	alien	+
Neto	gsb	+
gukh	CycK	-
row	CG9323	+
row	pzg	+
row	nxf2	+
Eno	Prx2540-2	+
Eno	Prosbeta5	+
LSm7	SmD3	+
LSm7	SmE	+
Nipped-B	scaf6	+
CG42594	Fur2	-
Rcd1	MBD-R2	+
CG9692	CG2116	-
CG1785	Mat89Ba	+
CG1785	CG6937	+
CG1785	ppan	+
CG1785	CG4364	+
Cul-3	spn-A	-
Cul-3	Doa	-
Cul-3	ci	-
Cul-3	Dfd	+
Cul-3	Dll	+
Cul-3	Smg6	+
CG17564	MED28	-
RfC3	Int6	+
RfC3	Tango7	+
RfC3	CG9769	+
RfC3	RPA2	+
RfC3	mus209	+
dlg1	trpl	+
dlg1	EfTuM	+
dlg1	Arpc1	-
dlg1	awd	+
dlg1	Droj2	+
dlg1	Psi	+
dlg1	CG9986	-
dlg1	PMCA	+
dlg1	tmod	+
CG5665	CG7548	-
CG7997	CG9293	+
shrb	vps24	+
Aats-trp	Sec61alpha	+
CG13627	CG6905	-
CG13627	Hsc70-4	-
dx	N	-
CG9175	sar1	+
RpL21	Sin3A	+
RpL21	Sfmbt	-
RpL21	CG6675	-
RpL21	CG16972	-
slbo	Gnf1	+
mus304	C15	+
CG6497	Mical	+
FKBP59	CG8407	+
FKBP59	CG12951	+
FKBP59	RpII33	-
Rcp	cdc16	+
CG31102	CG6337	+
RecQ4	Lip3	-
RecQ4	pea	-
RecQ4	Rbp6	-
RecQ4	robo	+
RecQ4	Mes2	+
RecQ4	CG15676	+
RecQ4	CG6923	-
RecQ4	CG42674	+
RecQ4	Hr39	+
RecQ4	PHDP	-
RecQ4	Dfd	+
RecQ4	Np	+
mip130	lin-52	+
mip130	Myb	+
ari-2	UbcD10	-
ari-2	dup	-
ari-2	CG6770	-
ari-2	RpS3	-
ari-2	C15	+
ari-2	Nmt	+
CG10417	CkIalpha	+
Skp2	CG6724	+
Skp2	cdc2c	+
Skp2	Arpc1	-
Acsl	fax	+
Psn	arm	+
Psn	N	+
Psn	N	+
wls	CG5447	+
p53	DLP	-
p53	CycK	-
p53	lwr	-
p53	toy	+
p53	SA	+
p53	gus	-
p53	grau	+
p53	Syp	+
GstS1	Strn-Mlck	+
GstS1	CG12203	+
CG13617	akirin	-
ald	CG12723	+
ald	CG33109	+
ald	CycK	-
ald	His3.3A	+
ald	SF2	-
ald	CG8929	+
CG32432	sl	+
CG10887	sick	+
CG10887	CG31954	-
how	brp	+
Trn	Ssb-c31a	+
CG17855	akirin	-
CG17855	RpL15	-
CG17855	RpL40	-
RpS17	CG4476	+
CG18336	CG8907	-
Acp29AB	RnrS	+
abs	Uba1	+
CG1115	crl	+
CG1115	CG1638	+
Gnf1	CG15220	+
Gnf1	RfC3	+
Gnf1	RfC38	+
Gnf1	RPA2	+
Gnf1	RpA-70	+
atms	hyx	+
atms	CG3909	+
atms	CG2469	+
atms	Rtf1	+
atms	RpII215	+
Caf1	E2f	+
Caf1	Myb	+
Caf1	sti	+
Caf1	Tcp-1eta	+
Caf1	Arpc1	-
PHDP	Obp99d	-
PHDP	opa	-
Art4	pAbp	-
Art4	His3.3A	-
Art4	nej	+
Ssl2	Hel25E	+
Ssl2	RpL4	+
tth	CG17855	+
CG5376	CG6607	+
snf	Bx42	+
snf	pea	+
snf	U2A	+
snf	Tango4	+
snf	CG6905	+
snf	SmG	+
snf	CG14641	-
snf	CG4849	+
snf	snRNP-U1-C	+
snf	CG6015	+
snf	CG6701	+
snf	ncm	+
snf	l(3)72Ab	+
snf	CG13900	+
snf	Prp8	+
snf	Atx2	+
snf	SmD3	+
snf	CG2021	+
snf	SmD2	+
snf	snRNP-U1-70K	+
crp	Cpr76Bb	+
crp	BubR1	+
Hop	cib	-
Pi4KIIalpha	Pka-R2	+
Pi4KIIalpha	CG6885	-
Pi4KIIalpha	CG30122	+
Pi4KIIalpha	CG8036	+
Pi4KIIalpha	Hsc70-1	-
Pi4KIIalpha	CG6418	+
CG8065	CG8235	+
CG8065	CG9986	+
Pkc53E	trp	+
Pkc53E	trpgamma	+
Pkc53E	vig	+
tin	pnr	+
CG5380	CG33051	+
CG5380	Hsc70Cb	+
Tequila	Task6	+
Fas2	Pcd	+
Fas2	His4r	-
Klp61F	Hsc70-1	+
Act42A	Syx1A	+
CG8974	CG32581	+
CAH1	eas	-
crn	Nufip	-
crn	Bx42	+
crn	Tango4	+
crn	CG6905	+
crn	Kap-alpha1	+
crn	nopo	+
crn	RpS15	+
crn	CG4849	+
crn	CG3605	+
crn	gnu	-
crn	CG11107	-
crn	CG6015	+
crn	CG9667	+
crn	CG13900	+
crn	Prp8	+
crn	l(1)10Bb	+
crn	SmD3	+
crn	CG3436	+
crn	CG6197	+
crn	SmD2	+
crn	CG6290	+
CG8461	CG1785	+
CG12229	CstF-64	-
CG12521	lig	-
Atg8b	Atg7	+
CG11876	Rpn2	+
G-ialpha65A	Ac78C	-
G-ialpha65A	Ac13E	-
G-ialpha65A	MED19	-
G-ialpha65A	Ac76E	-
CG16896	CG2678	-
CG1662	Syx8	+
Cfp1	sip1	+
trio	Sld5	-
ATPsyn-d	ATPsyn-gamma	+
ATPsyn-d	Oscp	+
ATPsyn-d	l(1)G0230	+
ATPsyn-d	ATPsyn-b	+
Rrp40	Rrp46	+
Aats-met	Ect3	-
eIF4G	eIF-4a	+
ago	RpLP0	-
ago	CG9894	+
ago	CycE	-
ago	e(r)	+
ago	raw	-
ago	RpL7A	-
ago	Hsc70-4	-
ago	RpS5a	-
ago	lin19	+
ago	RpS2	-
ago	dm	-
Tim8	CG31211	-
Tango4	CG6015	+
Tango4	CG14641	+
Tango4	CG6905	+
Tango4	Tcp-1zeta	+
VhaPPA1-2	Aldh-III	-
etaTry	baz	+
CG3909	CG4563	-
nuf	dah	+
nuf	Klc	+
nuf	crc	+
Orc1	Orc2	+
CG14572	Cda5	-
MED6	MED4	+
MED6	MED18	+
MED6	MED15	+
MED6	MED8	+
MED6	MED31	+
MED6	MED10	+
MED6	MED7	+
MED6	MED11	-
MED6	MED14	+
MED6	MED30	+
eIF-2alpha	eIF-2gamma	+
eIF-2alpha	mtg	+
eIF-2alpha	eIF-2beta	+
eIF-2alpha	SRPK	+
l(1)G0196	sip1	-
SAK	blw	-
SAK	CG18745	-
SAK	MED15	-
SAK	Hsc70-4	-
SAK	CG12723	+
SAK	CG13558	+
SAK	Cdk4	-
SAK	slmb	-
SAK	PHDP	-
SAK	gus	-
SAK	pan	-
SAK	rev7	+
SAK	Np	+
CG15563	CycK	-
CG15563	CG6996	+
CG15563	Stat92E	-
Tcp-1zeta	RpLP0	+
Tcp-1zeta	CG3523	+
Tcp-1zeta	Snp	-
Tcp-1zeta	RpS10b	+
Tcp-1zeta	Tcp-1eta	+
Tcp-1zeta	CG6370	+
Tcp-1zeta	CG1416	-
Tcp-1zeta	Rpt4	+
betaTub56D	CG6550	-
betaTub56D	CG9797	+
betaTub56D	Hel25E	+
Pp2A-29B	Nf-YA	+
Pp2A-29B	CSN3	+
CG14803	eIF-4a	-
CG11334	RpL23A	-
CG11334	RpS13	-
2-Sep	sip3	-
Trl	Hsf	-
cert	CG1603	+
CG16941	noi	+
CG31038	CG5642	+
CG11255	Glycogenin	-
mnb	CTCF	+
mnb	stumps	-
CG13364	CG34376	+
Tm1	CG10641	+
Tm1	Mlc-c	+
Adk2	Egm	+
Adk2	CG34404	+
Adk2	regucalcin	+
CG12947	Pde9	-
Rbf	CycE	-
Rbf	Rpd3	+
CG15739	CG11777	+
CG2931	mbo	+
CG6441	CG4681	-
Stam	hop	+
polybromo	mor	+
CG2453	CG4168	-
Obp44a	Obp56d	+
Pvr	Syx7	+
Pvr	Src42A	+
Pvr	Pp2B-14D	+
Pvr	tlk	+
Pvr	CG14879	-
Pvr	csw	+
Arpc4	cpa	-
Arpc4	tws	-
CG3430	nopo	+
CG14985	CG9992	-
CG14985	cnc	-
eIF4G2	CG17018	-
eIF4G2	Cda5	+
eIF4G2	Sld5	-
eIF4G2	26-29-p	+
eIF4G2	CG14563	+
Rpn12	Prosbeta3	+
Rpn12	Drep-4	+
Rpn12	Rpn1	+
Rpn12	Pros35	+
CG14353	CG4849	+
B52	Hsc70-1	+
B52	Trn-SR	+
B52	Arpc1	+
Cdc42	tum	-
Cdc42	Pak	+
CG11322	CG3919	+
Kap3	CG31550	-
mRpL22	CG5941	+
Cdlc2	bora	+
MED15	CG7185	+
MED15	MED4	+
MED15	MED16	+
MED15	ptip	+
MED15	MED10	+
MED15	MED7	+
MED15	MED14	+
MED15	MED17	+
MED15	mnb	+
MED15	MED30	+
mRpL45	Pxt	+
Pk92B	hep	+
Pk92B	CG7112	+
CG13838	Tango7	-
CG13838	CG17841	-
CG13838	gem	-
SF2	Rsf1	+
SF2	Trn-SR	+
RnpS1	Acn	+
th	CG32772	+
th	Jafrac2	-
th	eff	+
th	morgue	-
th	Ice	-
TppII	MED28	-
Mst77F	Pax	+
CG8368	CG8929	-
Aac11	Hel25E	+
DIP1	CG9715	+
djl	RpL22-like	-
D19B	CG17292	+
up	TpnC41C	+
up	Pdsw	-
up	CG7409	+
up	icln	+
up	Nc73EF	-
CG11985	HLH4C	-
CG11985	C15	+
CG4962	Rfabg	+
CG4962	CG31156	+
CG4962	mol	-
fne	Spx	+
fne	CG11266	-
CG3862	mTerf3	+
RpL28	Poxm	+
Prosbeta1	Rpt3	+
Prosbeta1	Vps16A	+
Prosbeta1	Prosalpha7	+
Prosbeta1	CG15717	-
Prosbeta1	TER94	+
Prosbeta1	Rpt1	+
Prosbeta1	Prosalpha5	+
Prosbeta1	Rpn11	+
Prosbeta1	Prosbeta7	+
Prosbeta1	CG13319	+
Prosbeta1	Prosbeta2	+
Prosbeta1	Prosbeta3	+
Prosbeta1	Rpn2	+
Prosbeta1	Tbp-1	+
Prosbeta1	Pomp	+
Prosbeta1	CG13349	-
Prosbeta1	Pros26.4	+
Prosbeta1	Rpn7	+
Prosbeta1	CG11885	-
Prosbeta1	Pros35	+
Prosbeta1	CG17331	+
Prosbeta1	Rpn6	+
Prosbeta1	Rpt4	+
Prosbeta1	Pros29	+
Prosbeta1	Pros25	+
Prosbeta1	Prosbeta5	+
CG12393	Tektin-C	+
CG12393	gus	+
CG12393	bol	+
CG12393	gsb	-
CG11526	Git	+
vn	Egfr	+
cdc14	CG5731	+
cdc14	CG13900	+
CG1116	CG18417	-
pho	a6	+
Pcd	tobi	+
ATPsyn-Cf6	CoIV	+
ATPsyn-Cf6	CG4692	+
ATPsyn-Cf6	eEF1delta	-
ATPsyn-Cf6	CG13887	+
ATPsyn-Cf6	mit(1)15	+
ATPsyn-Cf6	kdn	+
ATPsyn-Cf6	ATPsyn-gamma	+
ATPsyn-Cf6	l(1)G0230	+
ATPsyn-Cf6	ATPsyn-b	+
MRG15	nwk	+
MRG15	Atg4	+
MRG15	CG42674	+
MRG15	PSR	+
MRG15	mts	-
